-71.53677,-72.28383,50.45771,-83.76825,-67.75864,-4.96978,-9.24020
-72.59532,-70.74776,51.70864,-84.09274,-67.70049,-4.99963,-11.03652
-73.27137,-69.15072,52.61602,-84.40949,-67.67947,-5.00229,-12.30864
-74.07797,-68.08675,54.10027,-84.79195,-67.61067,-5.08886,-12.82772
-74.89025,-66.36647,55.22334,-85.29005,-67.61091,-5.08419,-14.01542
-75.92607,-65.46248,57.36900,-85.27032,-62.95415,-4.97413,-13.96723
-76.35599,-64.50643,58.79176,-85.26767,-62.96325,-4.97469,-13.92236
-67.71278,-76.08671,51.71763,-76.21821,-66.33483,-4.62930,-11.49680
-68.48167,-74.67737,53.33024,-76.47820,-65.38826,-4.77608,-12.61436
-69.62231,-72.95531,56.13749,-76.98388,-64.82802,-5.03659,-13.01044
-70.90881,-70.85838,57.50382,-78.39294,-64.44408,-5.03394,-13.19422
-71.56607,-70.10870,59.39103,-78.46385,-64.21566,-5.01477,-13.30869
-76.95491,-63.44729,60.25447,-85.26448,-62.94495,-4.97431,-13.93500
-77.51183,-62.72834,61.79908,-85.35391,-62.89810,-4.97388,-14.00037
-78.19212,-62.13564,63.31845,-85.25132,-62.89955,-4.95890,-13.97438
-78.65684,-61.60863,65.16502,-84.92446,-62.92242,-4.95657,-14.00150
-79.23182,-61.24131,66.79448,-84.53339,-62.93854,-4.93457,-13.98677
-79.25867,-61.09180,68.37553,-83.63382,-62.95061,-4.83129,-14.04977
-79.60979,-60.93998,70.17648,-83.07177,-62.97370,-4.73312,-14.04829
-79.85007,-60.64740,71.66799,-82.42843,-63.13829,-4.66267,-14.01016
-72.54102,-68.94987,62.28219,-78.52970,-64.08221,-4.99789,-13.29907
-73.03712,-68.07574,64.12310,-78.50651,-64.02743,-4.99699,-13.29677
-73.73195,-67.12397,66.77969,-77.96651,-64.02319,-4.97772,-13.31103
-74.11549,-66.75083,69.25485,-77.47399,-64.02280,-4.97303,-13.39308
-74.66774,-66.38840,70.94157,-76.92548,-64.04546,-4.97289,-13.29074
