-85.12663,-73.79542,62.69872,-99.04096,-76.06908,12.79730,2.52124
-85.58684,-73.53397,64.85978,-98.33310,-74.37195,12.73613,2.56756
-86.17199,-71.86334,67.17759,-98.58585,-72.75818,10.51837,2.49192
-86.28171,-70.99829,68.99826,-98.41069,-72.22435,9.64426,2.56856
-86.40640,-69.46361,71.07162,-98.09903,-71.47175,6.93193,2.75411
-86.96133,-68.28680,73.76219,-97.74865,-70.43762,4.25593,2.50358
-87.27002,-67.80135,76.64787,-96.94410,-68.77016,1.96989,2.28715
-80.57139,-73.70946,61.76688,-92.87712,-69.99321,13.63066,-1.57774
-80.45944,-71.55416,63.43307,-92.78753,-70.21129,11.72455,-1.42866
-80.51805,-69.06393,66.81464,-91.95725,-69.81868,6.88839,-1.43203
-80.57571,-67.67535,68.72343,-91.28445,-69.68565,5.05456,-1.45883
-80.94567,-66.31082,71.47537,-90.71649,-69.29316,1.51022,-1.54446
-87.34760,-67.25201,79.35622,-95.74339,-68.27404,-0.98149,2.02441
-87.36020,-66.86897,81.91148,-94.49335,-67.73109,-3.06696,1.67533
-87.32793,-66.51259,83.90418,-93.19566,-67.56897,-4.48440,1.30403
-87.24397,-66.25440,86.35855,-91.88843,-67.24152,-6.83718,0.87278
-86.90389,-65.92744,88.16443,-90.31396,-67.14546,-8.07352,-0.08177
-86.18867,-65.62660,90.10287,-88.33377,-67.13970,-9.87025,-0.30512
-85.17946,-64.92245,91.83604,-85.99760,-67.14943,-12.53252,-0.50499
-84.11928,-64.21214,93.32931,-83.61991,-67.11081,-13.78969,-0.79268
-81.17917,-65.35517,74.84821,-89.19622,-68.96143,-1.08811,-2.13706
-81.35946,-64.53100,78.13934,-87.63028,-67.47168,-4.33604,-2.36846
-80.48083,-64.11991,81.85941,-84.82727,-66.99136,-6.53037,-2.59874
-80.13561,-63.71659,83.54675,-83.13414,-67.00842,-8.11255,-2.63550
-79.56673,-63.11186,86.01286,-81.23694,-66.98893,-10.70006,-2.67580
